ticker,name,sector,market_cap_category
CIBUS.ST,Cibus Real Estate AB (publ),Real Estate,Small Cap
CINPHA.ST,Cinclus Pharma Holding AB,Health Care,Small Cap
CINT.ST,Cint Group AB (publ),Information Technology,Small Cap
CIRCHE-BTA.ST,CirChem AB TEMP,Materials,Nano Cap
CIRCHE.ST,CirChem AB (publ),Industrials,Nano Cap
CLA-B.ST,Cloetta AB (publ),Consumer Staples,Small Cap
CLAS-B.ST,Clas Ohlson AB (publ),Consumer Discretionary,Small Cap
CLAV.ST,Clavister Holding AB (publ.),Information Technology,Nano Cap
CLBIO.ST,Corline Biomedical AB,Health Care,Nano Cap
CLEM.ST,Clemondo Group AB (publ),Consumer Staples,Nano Cap
CLEMO.ST,Clean Motion AB (publ),Consumer Discretionary,Nano Cap
CLIME-B.ST,Climeon AB (publ),Utilities,Micro Cap
CLNK-B.ST,Cellink AB (publ),Health Care,Mid Cap
CLS-B.ST,Clinical Laserthermia Systems AB (publ),Health Care,Nano Cap
CMOTEC-B.ST,Scandinavian ChemoTech AB (publ),Health Care,Nano Cap
CNCJO-B.ST,Concejo AB (publ),Industrials,Micro Cap
COFFEE-B.ST,Coffee Stain Group AB Class B,Information Technology,Mid Cap
COIC.ST,Concentric AB (publ),Industrials,Small Cap
COLL.ST,Collector AB (publ),Financials,Small Cap
COLLAX.ST,Collaxio AB (publ) Class B,Financials,Nano Cap
COMPDM.ST,Compodium International AB,Information Technology,Nano Cap
CONF.ST,Confidence International AB (publ.),Industrials,Nano Cap
CONTXO.ST,ContextVision AB,Information Technology,Micro Cap
COOR.ST,Coor Service Management Holding AB,Industrials,Small Cap
CORE-A.ST,Corem Property Group AB (publ),Real Estate,Small Cap
CORE-B.ST,Corem Property Group AB (publ),Real Estate,Small Cap
CORE-D.ST,Corem Property Group AB Class D,Financials,Mid Cap
CORE-PREF.ST,Corem Property Group AB (publ),Real Estate,Small Cap
CRAD-B.ST,C-Rad AB (publ),Health Care,Micro Cap
CRED-A.ST,Creades AB,Financials,Small Cap
CRNAO.ST,Circio Holding ASA,Health Care,Small Cap
CRNO-B.ST,Cereno Scientific AB Class B,Health Care,Small Cap
CTEK.ST,CTEK AB,Industrials,Small Cap
CTM.ST,Catena Media plc,Consumer Discretionary,Micro Cap
CTT.ST,CTT Systems AB,Industrials,Micro Cap
CUR.ST,Curando Nordic AB (publ),Health Care,Nano Cap
CX.ST,CombinedX AB,Industrials,Small Cap
DEDI.ST,Dedicare AB (publ),Industrials,Micro Cap
DEVP-B.ST,DevPort AB (publ),Information Technology,Nano Cap
DFENSO.ST,Fjord Defence Group ASA,Information Technology,Small Cap
DICOT.ST,Dicot Pharma AB,Health Care,Small Cap
DIGN.ST,Dignitana AB (publ.),Health Care,Micro Cap
DIOS.ST,Dios Fastigheter AB (publ),Real Estate,Small Cap
DIST.ST,DistIT AB (publ),Information Technology,Micro Cap
DIVIO-B.ST,Divio Technologies AB (publ),Information Technology,Nano Cap
DLAB.ST,Dlaboratory Sweden AB (publ),Utilities,Nano Cap
DMYD-B.ST,Diamyd Medical AB (publ),Health Care,Micro Cap
DNBO.ST,DNB Bank ASA,Financials,Large Cap
DNOO.ST,DNO ASA Class A,Energy,Large Cap
DOFGO.ST,DOF Group ASA,Energy,Large Cap
DOM.ST,Dometic Group AB,Information Technology,Mid Cap
DONE.ST,Done.ai Group AB,Information Technology,Small Cap
DOXA.ST,Doxa AB (publ),Health Care,Nano Cap
DRIL.ST,Drillcon AB (publ),Industrials,Micro Cap
DSNO.ST,Desenio Group AB (publ),Consumer Discretionary,Small Cap
DUNI.ST,Duni AB (publ),Consumer Staples,Small Cap
DURC-B.ST,Duroc AB (publ),Industrials,Micro Cap
DUST.ST,Dustin Group AB (publ),Information Technology,Small Cap
DVYSR.ST,Devyser Diagnostics AB,Health Care,Small Cap
DYVOX.ST,Dynavox Group AB,Information Technology,Mid Cap
EAST.ST,Eastnine AB (publ),Financials,Small Cap
ECC-B.ST,Ecoclime Group AB (publ),Industrials,Micro Cap
ECOWVE.ST,EWPG Holding AB (publ),Utilities,Nano Cap
EFFH.ST,Effnetplattformen Holding AB,Information Technology,Micro Cap
EFFP.ST,Effnetplattformen AB (publ),Financials,Nano Cap
EG7.ST,Enad Global 7 AB,Communication Services,Small Cap
EGTX.ST,Egetis Therapeutics AB (publ),Health Care,Micro Cap
EIOFO.ST,Eidesvik Offshore ASA,Industrials,Small Cap
EKOBOT.ST,Ekobot AB (publ),Industrials,Nano Cap
EKTA-B.ST,Elekta AB (publ),Health Care,Mid Cap
ELABSO.ST,Elliptic Laboratories ASA,Information Technology,Micro Cap
ELAN-B.ST,Elanders AB (publ),Industrials,Small Cap
ELEC.ST,Electra Gruppen AB (publ),Consumer Discretionary,Nano Cap
ELIC.ST,Elicera Therapeutics AB,Health Care,Micro Cap
ELKO.ST,Elkem ASA,Materials,Large Cap
ELMRAO.ST,Elmera Group ASA,Utilities,Mid Cap
ELON.ST,Elon AB,Consumer Discretionary,Micro Cap
ELOO.ST,Elopak ASA,Materials,Mid Cap
ELOS-B.ST,Elos Medtech AB (publ),Health Care,Micro Cap
ELTEL.ST,Eltel AB (publ),Industrials,Small Cap
ELUX-A.ST,AB Electrolux (publ),Information Technology,Mid Cap
